time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010444134693	7.8174	0.159656	-2.01416	0.0214093	0	radar	1.3427	6.74585	-0.143185	6.95	-0.15	-1.81898	-1.81898
1477010444189670	7.7574	0.114923	-2.01397	0.0214078	0	lidar	2.12285e-314	6.84972	-0.258748	6.85	-0.25	-1.81896	-1.81897
1477010444239651	7.69343	0.113687	-2.06957	0.0182731	0	radar	1.38256	6.66966	-0.346668	6.75	-0.349999	-2.00076	-2.00075
1477010444289632	7.63567	0.0578937	-2.06938	0.0182716	0	lidar	2.12285e-314	6.64329	-0.462604	6.65	-0.449999	-2.00076	-2.00075
1477010444339690	7.58251	0.0569781	-2.04079	0.0207949	0	radar	1.05742	6.60862	-0.557035	6.6	-0.549999	-0.998836	-1.99769
1477010444389748	7.53202	-0.0056267	-2.04063	0.0207927	0	lidar	2.12285e-314	6.56029	-0.650892	6.55	-0.65	-0.99884	-1.99769
1477010444444769	7.48081	-0.00635756	-1.98656	0.0302047	0	radar	1.44953	6.40696	-0.842921	6.5	-0.85	-0.908747	-3.63498
1477010444499791	7.43509	-0.0916421	-1.98644	0.0301969	0	lidar	2.12285e-314	6.45805	-1.05268	6.45	-1.05	-0.908739	-3.63494
1477010444554767	7.39373	-0.0918572	-1.98794	0.0296352	0	radar	0.89314	6.38626	-1.15695	6.35	-1.15	-1.81897	-1.81898
1477010444609744	7.34696	-0.179069	-1.98787	0.0296085	0	lidar	2.12285e-314	6.25499	-1.25007	6.25	-1.25	-1.81896	-1.81896
1477010444664705	7.31678	-0.180699	-1.82445	0.102705	0	radar	4.36769	6.43125	-1.48148	6.3	-1.45	0.909739	-3.63894
1477010444719667	7.28076	-0.284232	-1.82451	0.102638	0	lidar	2.12285e-314	6.36328	-1.65656	6.35	-1.65	0.909727	-3.63891
1477010444769692	7.25429	-0.285353	-1.77439	0.16185	0	radar	0.926085	6.3228	-1.81431	6.3	-1.8	-0.999494	-2.9985
1477010444819718	7.21879	-0.394491	-1.77467	0.161533	0	lidar	2.12285e-314	6.24641	-1.95075	6.25	-1.95	-0.999489	-2.99847
1477010444869719	7.19886	-0.399167	-1.62683	0.443536	0	radar	4.32609	6.31851	-2.10969	6.3	-2.1	0.999984	-2.99994
1477010444919720	7.17073	-0.512278	-1.62743	0.442656	0	lidar	2.12285e-314	6.34644	-2.23829	6.35	-2.25	0.999979	-2.99994
1477010444974743	7.15663	-0.518705	-1.55741	0.853612	0	radar	1.89914	6.32593	-2.40018	6.35	-2.4	0	-2.72613
1477010445029767	7.13142	-0.636415	-1.55853	0.849852	0	lidar	2.12285e-314	6.34927	-2.55175	6.35	-2.55	0	-2.72611
1477010445084742	7.12522	-0.648816	-1.54834	1.81114	0	radar	3.68744	6.43125	-2.71878	6.4	-2.7	0.909499	-2.72851
1477010445139717	7.10456	-0.768729	-1.54957	1.80116	0	lidar	2.12285e-314	6.43257	-2.84245	6.45	-2.85	0.909503	-2.72851
1477010445189758	7.10364	-0.773691	-1.60472	2.16737	0	radar	0.650957	6.46536	-3.00452	6.45	-3	0	-2.99754
1477010445239799	7.0846	-0.896705	-1.60538	2.15313	0	lidar	2.12285e-314	6.44119	-3.14955	6.45	-3.15	0	-2.99754
1477010445294720	7.08892	-0.901805	-1.67359	2.48289	0	radar	1.34488	6.52249	-3.32007	6.5	-3.3	0.910402	-2.7312
1477010445349641	7.07359	-1.02745	-1.67405	2.46731	0	lidar	2.12285e-314	6.5453	-3.45745	6.55	-3.45	0.910402	-2.7312
1477010445404670	7.08325	-1.03334	-1.75963	2.68213	0	radar	1.9366	6.6358	-3.59197	6.65	-3.6	1.81722	-2.72583
1477010445459700	7.07375	-1.16059	-1.75999	2.66609	0	lidar	2.12285e-314	6.76011	-3.75457	6.75	-3.75	1.81721	-2.72581
1477010445514767	7.0906	-1.16807	-1.80654	2.72368	0	radar	1.06994	6.83625	-3.92723	6.8	-3.9	0.907988	-2.72396
1477010445569835	7.08325	-1.29692	-1.80684	2.70738	0	lidar	2.12285e-314	6.85997	-4.05805	6.85	-4.05	0.907976	-2.72393
1477010445624820	7.10213	-1.30539	-1.84922	2.74669	0	radar	1.23126	6.86943	-4.18507	6.9	-4.2	0.909334	-2.72801
1477010445679806	7.09623	-1.43484	-1.84946	2.73028	0	lidar	2.12285e-314	6.94332	-4.34473	6.95	-4.35	0.90933	-2.72799
1477010445734748	7.12028	-1.4454	-1.85357	2.73219	0	radar	1.36666	7.05156	-4.49706	7	-4.45	0.910054	-1.8201
1477010445789690	7.11589	-1.57193	-1.85377	2.71613	0	lidar	2.12285e-314	7.04099	-4.55018	7.05	-4.55	0.910054	-1.8201
1477010445844738	7.1407	-1.58346	-1.88809	2.73964	0	radar	1.9171	7.10252	-4.67934	7.1	-4.7	0.908302	-2.72489
1477010445899786	7.13771	-1.71146	-1.88827	2.7234	0	lidar	2.12285e-314	7.14735	-4.86125	7.15	-4.85	0.908297	-2.72489
1477010445954759	7.16785	-1.7259	-1.96292	2.76473	0	radar	4.2287	7.3138	-5.05204	7.25	-5	1.81907	-2.72861
1477010446009732	7.167	-1.85431	-1.96309	2.74845	0	lidar	2.12285e-314	7.30424	-5.15404	7.35	-5.15	1.81907	-2.72861
1477010446064786	7.1963	-1.86907	-1.99972	2.7583	0	radar	2.98904	7.29446	-5.23429	7.4	-5.3	0.908194	-2.7246
1477010446119841	7.1971	-1.998	-1.99988	2.74197	0	lidar	2.12285e-314	7.44737	-5.45308	7.45	-5.45	0.90819	-2.72457
1477010446174794	7.23288	-2.01653	-2.03885	2.74977	0	radar	4.60272	7.63082	-5.61863	7.55	-5.55	1.81974	-1.81974
1477010446229748	7.23611	-2.14274	-2.039	2.73382	0	lidar	2.12285e-314	7.64356	-5.66706	7.65	-5.65	1.81972	-1.81972
1477010446284703	7.26999	-2.16124	-2.06794	2.73772	0	radar	4.30428	7.60376	-5.74774	7.7	-5.8	0.90983	-2.72951
1477010446339659	7.27346	-2.28753	-2.06809	2.72176	0	lidar	2.12285e-314	7.7342	-5.95374	7.75	-5.95	0.909826	-2.72948
1477010446389694	7.31067	-2.30867	-2.14904	2.73399	0	radar	7.95267	7.82165	-6.06822	7.85	-6.1	1.9986	-2.9979
1477010446439730	7.31658	-2.43482	-2.1492	2.71808	0	lidar	2.12285e-314	7.95703	-6.24328	7.95	-6.25	1.99858	-2.99787
1477010446494754	7.35902	-2.45976	-2.17719	2.71839	0	radar	7.61103	8.17338	-6.44684	8.05	-6.35	1.81738	-1.81739
1477010446549779	7.36684	-2.58315	-2.17736	2.70286	0	lidar	2.12285e-314	8.15891	-6.45335	8.15	-6.45	1.81737	-1.81737
1477010446604767	7.40576	-2.60715	-2.20198	2.70309	0	radar	6.94261	8.08628	-6.51855	8.2	-6.6	0.909293	-2.72787
1477010446659755	7.4135	-2.73073	-2.20215	2.68753	0	lidar	2.12285e-314	8.25411	-6.74791	8.25	-6.75	0.909293	-2.72787
1477010446714702	7.45387	-2.75659	-2.23296	2.68858	0	radar	8.22995	8.25648	-6.78122	8.35	-6.85	1.81994	-1.81993
1477010446769649	7.46315	-2.87764	-2.23314	2.67337	0	lidar	2.12285e-314	8.44494	-6.95805	8.45	-6.95	1.81993	-1.81993
1477010446819646	7.5042	-2.90492	-2.25601	2.67346	0	radar	8.91384	8.39359	-7.01743	8.5	-7.1	1.00006	-3.00018
1477010446869643	7.51344	-3.02589	-2.25619	2.65825	0	lidar	2.12285e-314	8.54925	-7.24433	8.55	-7.25	1.00006	-3.00018
1477010446919691	7.55739	-3.05608	-2.31045	2.66311	0	radar	12.5212	8.64403	-7.39047	8.65	-7.4	1.99807	-2.99712
1477010446969739	7.56774	-3.17704	-2.31065	2.64793	0	lidar	2.12285e-314	8.73559	-7.5421	8.75	-7.55	1.99808	-2.99712
1477010447024687	7.61376	-3.20977	-2.31071	2.64439	0	radar	12.5122	8.87176	-7.71912	8.8	-7.65	0.909955	-1.8199
1477010447079636	7.62414	-3.32848	-2.31092	2.6295	0	lidar	2.12285e-314	8.84538	-7.75497	8.85	-7.75	0.909946	-1.81988
1477010447129681	7.66855	-3.36119	-2.33698	2.63081	0	radar	13.0762	8.88333	-7.88636	8.9	-7.9	0.999086	-2.9973
1477010447179726	7.67891	-3.47961	-2.3372	2.61595	0	lidar	2.12285e-314	8.95966	-8.0381	8.95	-8.05	0.999095	-2.9973
1477010447234713	7.72122	-3.51188	-2.33055	2.61105	0	radar	12.2888	8.8564	-8.01424	9	-8.15	0.909309	-1.8186
1477010447289701	7.73151	-3.62809	-2.33078	2.59648	0	lidar	2.12285e-314	9.05896	-8.24314	9.05	-8.25	0.909301	-1.81859
1477010447339681	7.77739	-3.66405	-2.35405	2.59927	0	radar	15.9335	9.17781	-8.47056	9.1	-8.4	1.0004	-3.00119
1477010447389662	7.78732	-3.78057	-2.35429	2.58466	0	lidar	2.12285e-314	9.15332	-8.54857	9.15	-8.55	1.00038	-3.00117
1477010447444637	7.83246	-3.8171	-2.34951	2.57918	0	radar	16.0382	9.22922	-8.6898	9.2	-8.65	0.909508	-1.819
1477010447499613	7.84219	-3.93184	-2.34976	2.56479	0	lidar	2.12285e-314	9.24541	-8.76863	9.25	-8.75	0.9095	-1.81899
1477010447549622	7.88798	-3.96982	-2.41383	2.58667	0	radar	22.1545	9.37748	-9.00609	9.35	-8.95	1.99965	-3.99928
1477010447599631	7.89863	-4.08647	-2.41411	2.57206	0	lidar	2.12285e-314	9.44703	-9.15328	9.45	-9.15	1.99964	-3.99928
1477010447649652	7.94448	-4.12573	-2.41632	2.56799	0	radar	18.9322	9.50096	-9.25642	9.5	-9.25	0.999584	-1.99917
1477010447699673	7.95496	-4.24009	-2.41661	2.55367	0	lidar	2.12285e-314	9.54157	-9.35195	9.55	-9.35	0.999584	-1.99917
1477010447749669	7.9991	-4.27896	-2.4198	2.55006	0	radar	18.7672	9.47534	-9.42627	9.55	-9.5	0	-3.00023
1477010447799666	8.00816	-4.39353	-2.4201	2.5357	0	lidar	2.12285e-314	9.54779	-9.64959	9.55	-9.65	0	-3.0002
1477010447849716	8.05443	-4.43528	-2.43929	2.5377	0	radar	22.464	9.69942	-9.88416	9.6	-9.8	0.999005	-2.997
1477010447899766	8.06327	-4.54951	-2.4396	2.52338	0	lidar	2.12285e-314	9.64606	-9.9341	9.65	-9.95	0.998995	-2.997
1477010447954720	8.10679	-4.58993	-2.43459	2.51684	0	radar	20.8123	9.60087	-9.96395	9.7	-10.05	0.909855	-1.81969
1477010448009675	8.11553	-4.70222	-2.43492	2.50277	0	lidar	2.12285e-314	9.73801	-10.1396	9.75	-10.15	0.909847	-1.81969
1477010448059664	8.16204	-4.74641	-2.44005	2.50057	0	radar	25.3068	9.92627	-10.4745	9.75	-10.3	0	-3.00065
1477010448109654	8.16953	-4.85954	-2.4404	2.48638	0	lidar	2.12285e-314	9.75524	-10.4732	9.75	-10.45	0	-3.00063
1477010448164710	8.21239	-4.90132	-2.4516	2.48926	0	radar	23.1109	9.71825	-10.5087	9.8	-10.6	0.90817	-2.72451
1477010448219767	8.21973	-5.01404	-2.45196	2.47514	0	lidar	2.12285e-314	9.85048	-10.7526	9.85	-10.75	0.908161	-2.72448
1477010448274697	8.26396	-5.05825	-2.44677	2.46616	0	radar	25.9784	9.88465	-10.9383	9.85	-10.9	0	-2.73074
1477010448329628	8.26988	-5.17092	-2.44715	2.45205	0	lidar	2.12285e-314	9.83614	-11.041	9.85	-11.05	0	-2.73073
1477010448379634	8.31289	-5.21493	-2.44982	2.44948	0	radar	26.112	9.83952	-11.1692	9.85	-11.2	0	-2.99965
1477010448429641	8.3177	-5.32787	-2.45021	2.43534	0	lidar	2.12285e-314	9.84568	-11.3496	9.85	-11.35	0	-2.99961
1477010448479667	8.36104	-5.37326	-2.45253	2.43259	0	radar	28.186	9.87961	-11.5637	9.85	-11.5	0	-2.99843
1477010448529693	8.36458	-5.48597	-2.45294	2.41849	0	lidar	2.12285e-314	9.83206	-11.6307	9.85	-11.65	0	-2.99843
1477010448579678	8.40732	-5.53195	-2.42985	2.37915	0	radar	30.5785	9.85311	-11.8523	9.8	-11.75	-1.0003	-2.00061
1477010448629664	8.40905	-5.64333	-2.43027	2.36523	0	lidar	2.12285e-314	9.74928	-11.8442	9.75	-11.85	-1.00029	-2.00059
1477010448679644	8.44947	-5.68775	-2.42612	2.3446	0	radar	27.7458	9.69694	-11.9706	9.7	-12	-1.0004	-3.00119
1477010448729625	8.44918	-5.79955	-2.42654	2.33067	0	lidar	2.12285e-314	9.65354	-12.1497	9.65	-12.15	-1.00039	-3.00116
1477010448779630	8.49019	-5.84576	-2.41604	2.26606	0	radar	31.1856	9.72311	-12.3964	9.6	-12.25	-0.999885	-1.99981
1477010448829636	8.48807	-5.95609	-2.41647	2.25239	0	lidar	2.12285e-314	9.54859	-12.3478	9.55	-12.35	-0.999884	-1.99979
1477010448879685	8.52561	-5.9996	-2.41321	2.10958	0	radar	29.2425	9.39039	-12.3902	9.45	-12.45	-1.99803	-1.99805
1477010448929734	8.52092	-6.10882	-2.41362	2.09623	0	lidar	2.12285e-314	9.36086	-12.5501	9.35	-12.55	-1.99804	-1.99804
1477010448984693	8.55818	-6.15286	-2.42773	1.95553	0	radar	28.7414	9.34456	-12.7106	9.3	-12.65	-0.909773	-1.81953
1477010449039652	8.5515	-6.26107	-2.42807	1.9428	0	lidar	2.12285e-314	9.22134	-12.7613	9.25	-12.75	-0.909773	-1.81954
1477010449089745	8.58814	-6.30586	-2.48973	1.54379	0	radar	33.1265	9.15326	-13.0031	9.05	-12.85	-3.99257	-1.99629
1477010449139839	8.57722	-6.41326	-2.48991	1.53182	0	lidar	2.12285e-314	8.84161	-12.9519	8.85	-12.95	-3.99253	-1.99627
1477010449194745	8.61003	-6.45408	-2.55636	1.24059	0	radar	25.5567	8.71632	-12.9613	8.75	-13	-1.8213	-0.910651
1477010449249651	8.59724	-6.55879	-2.55626	1.23006	0	lidar	2.12285e-314	8.66358	-13.0431	8.65	-13.05	-1.8213	-0.910651
1477010449299701	8.62888	-6.59889	-2.6177	0.997705	0	radar	25.2228	8.54518	-13.1702	8.5	-13.1	-2.997	-0.999005
1477010449349751	8.61302	-6.70166	-2.61738	0.987993	0	lidar	2.12285e-314	8.35763	-13.1557	8.35	-13.15	-2.997	-0.998995
1477010449404748	8.64203	-6.73921	-2.67701	0.787987	0	radar	23.151	8.22926	-13.1698	8.2	-13.15	-2.72741	0
1477010449459745	8.62334	-6.83844	-2.67657	0.778866	0	lidar	2.12285e-314	8.03583	-13.1513	8.05	-13.15	-2.72742	0
1477010449514693	8.64897	-6.87221	-2.7088	0.682122	0	radar	18.4896	7.82914	-13.0525	7.9	-13.15	-2.72986	0
1477010449569641	8.62802	-6.96831	-2.7083	0.673383	0	lidar	2.12285e-314	7.76538	-13.1647	7.75	-13.15	-2.72986	0
1477010449619676	8.65313	-7.00186	-2.70544	0.679347	0	radar	18.1561	7.66146	-13.3079	7.6	-13.2	-2.9979	-0.999304
1477010449669711	8.62943	-7.09618	-2.70489	0.670759	0	lidar	2.12285e-314	7.44786	-13.2517	7.45	-13.25	-2.9979	-0.999304
1477010449724687	8.65112	-7.12596	-2.72511	0.612872	0	radar	14.9679	7.21108	-13.0985	7.3	-13.25	-2.72846	0
1477010449779664	8.62527	-7.21713	-2.72454	0.604524	0	lidar	2.12285e-314	7.16011	-13.2382	7.15	-13.25	-2.72844	0
1477010449829700	8.64443	-7.24413	-2.75748	0.51666	0	radar	14.0126	6.88472	-12.9588	7	-13.2	-2.99784	0.999284
1477010449879736	8.61646	-7.33133	-2.75692	0.508584	0	lidar	2.12285e-314	6.84891	-13.1493	6.85	-13.15	-2.99784	0.999284
1477010449934724	8.63576	-7.3589	-2.77744	0.458388	0	radar	13.6311	6.77424	-13.2337	6.7	-13.1	-2.72787	0.909275
1477010449989712	8.60591	-7.4424	-2.77688	0.450552	0	lidar	2.12285e-314	6.55759	-13.0679	6.55	-13.05	-2.72787	0.909284
1477010450044722	8.6227	-7.46677	-2.77986	0.44254	0	radar	10.2353	6.40137	-13.0799	6.4	-13.05	-2.72678	0
1477010450099732	8.59088	-7.54772	-2.7793	0.434837	0	lidar	2.12285e-314	6.26174	-13.0534	6.25	-13.05	-2.72678	0
1477010450154684	8.60594	-7.57011	-2.7917	0.406176	0	radar	9.19504	6.10143	-13.0076	6.1	-13	-2.72966	0.909888
1477010450209637	8.5722	-7.64751	-2.79115	0.398672	0	lidar	2.12285e-314	5.94198	-12.9494	5.95	-12.95	-2.72963	0.90988
1477010450259674	8.58526	-7.66755	-2.82249	0.331162	0	radar	10.5409	5.79854	-12.8478	5.8	-12.85	-2.99777	1.99851
1477010450309711	8.55014	-7.74012	-2.82196	0.32397	0	lidar	2.12285e-314	5.65107	-12.7365	5.65	-12.75	-2.99778	1.99852
1477010450364717	8.56076	-7.75658	-2.82671	0.31399	0	radar	5.02585	5.50547	-12.5721	5.55	-12.7	-1.81798	0.908995
1477010450419723	8.52472	-7.8261	-2.8262	0.306996	0	lidar	2.12285e-314	5.43839	-12.652	5.45	-12.65	-1.81799	0.908995
1477010450474743	8.53407	-7.84105	-2.84745	0.266266	0	radar	5.98348	5.27506	-12.4782	5.3	-12.55	-2.72627	1.81753
1477010450529764	8.49656	-7.9066	-2.84695	0.2595	0	lidar	2.12285e-314	5.1307	-12.4684	5.15	-12.45	-2.72625	1.8175
1477010450584712	8.50465	-7.91978	-2.85932	0.23713	0	radar	3.95453	5.04446	-12.3808	5.05	-12.35	-1.8199	1.81989
1477010450639660	8.46667	-7.98093	-2.85885	0.230672	0	lidar	2.12285e-314	4.92985	-12.2499	4.95	-12.25	-1.81991	1.8199
1477010450689678	8.47222	-7.9904	-2.87494	0.203091	0	radar	2.98843	4.75061	-11.9803	4.85	-12.15	-1.99928	1.99929
1477010450739696	8.43398	-8.04776	-2.8745	0.196902	0	lidar	2.12285e-314	4.75915	-12.0666	4.75	-12.05	-1.99928	1.99928
1477010450794748	8.43891	-8.05635	-2.89121	0.169722	0	radar	2.88803	4.69113	-11.9084	4.7	-11.9	-0.908236	2.72471
1477010450849800	8.40112	-8.10833	-2.89081	0.163953	0	lidar	2.12285e-314	4.64378	-11.7442	4.65	-11.75	-0.908231	2.7247
1477010450904754	8.4045	-8.11444	-2.8951	0.157108	0	radar	0.948246	4.59746	-11.6205	4.6	-11.65	-0.909847	1.81971
1477010450959709	8.36706	-8.16302	-2.89473	0.151607	0	lidar	2.12285e-314	4.54975	-11.5706	4.55	-11.55	-0.909843	1.81969
1477010451009669	8.36916	-8.16739	-2.92809	0.101471	0	radar	6.80252	4.47442	-11.3673	4.5	-11.35	-1.0008	4.0032
1477010451059629	8.33241	-8.20987	-2.92777	0.0964436	0	lidar	2.12285e-314	4.44059	-11.1496	4.45	-11.15	-1.0008	4.00321
1477010451114691	8.33295	-8.21146	-2.92712	0.0972119	0	radar	0.204509	4.43713	-11.024	4.45	-11.05	0	1.81614
1477010451169754	8.29742	-8.25022	-2.92683	0.0925185	0	lidar	2.12285e-314	4.45136	-10.93	4.45	-10.95	0	1.81612
1477010451224789	8.29707	-8.25042	-2.93659	0.0793152	0	radar	0.73131	4.44745	-10.786	4.45	-10.8	0	2.72555
1477010451279824	8.26283	-8.28491	-2.93633	0.0749956	0	lidar	2.12285e-314	4.45788	-10.6457	4.45	-10.65	0	2.72554
1477010451334789	8.26172	-8.28382	-2.94368	0.065397	0	radar	0.537494	4.46329	-10.5756	4.45	-10.5	0	2.729
1477010451389755	8.2286	-8.31401	-2.94346	0.0614409	0	lidar	2.12285e-314	4.44057	-10.3382	4.45	-10.35	0	2.72898
1477010451444763	8.22636	-8.31101	-2.94748	0.0564235	0	radar	0.495252	4.51895	-10.2367	4.5	-10.2	0.908962	2.72687
1477010451499772	8.19525	-8.33701	-2.94729	0.0528728	0	lidar	2.12285e-314	4.54925	-10.0439	4.55	-10.05	0.908954	2.72685
1477010451554732	8.19233	-8.3328	-2.95071	0.0487361	0	radar	0.679947	4.63224	-9.9707	4.6	-9.9	0.909756	2.72927
1477010451609692	8.16302	-8.35482	-2.95056	0.0455627	0	lidar	2.12285e-314	4.63755	-9.74952	4.65	-9.75	0.909752	2.72926
1477010451664722	8.15829	-8.34756	-2.95497	0.0403797	0	radar	1.633	4.60757	-9.4335	4.7	-9.6	0.90859	2.72578
1477010451719753	8.13089	-8.36582	-2.95486	0.0375732	0	lidar	2.12285e-314	4.74589	-9.4609	4.75	-9.45	0.908586	2.72576
1477010451774708	8.12662	-8.35922	-2.95118	0.0424458	0	radar	1.34625	4.89179	-9.39473	4.85	-9.3	1.81967	2.72952
1477010451829663	8.10182	-8.37333	-2.9511	0.0400716	0	lidar	2.12285e-314	4.94849	-9.13867	4.95	-9.15	1.81967	2.72951
1477010451879669	8.09635	-8.36466	-2.94362	0.0498704	0	radar	2.56112	4.95209	-8.96272	5	-9.05	0.999884	1.99977
1477010451929676	8.07304	-8.37638	-2.94356	0.0477437	0	lidar	2.12285e-314	5.04121	-8.94979	5.05	-8.95	0.999874	1.99974
1477010451984680	8.06797	-8.36832	-2.93778	0.055581	0	radar	2.15891	5.20806	-8.88942	5.15	-8.8	1.81805	2.72708
1477010452039685	8.04731	-8.3762	-2.93776	0.053866	0	lidar	2.12285e-314	5.26887	-8.63564	5.25	-8.65	1.81803	2.72705
1477010452089696	8.04168	-8.36715	-2.92618	0.0695627	0	radar	3.77562	5.3785	-8.56768	5.35	-8.55	1.99956	1.99957
1477010452139708	8.02306	-8.3725	-2.92618	0.0681354	0	lidar	2.12285e-314	5.44864	-8.42738	5.45	-8.45	1.99954	1.99954
1477010452194711	8.01759	-8.36369	-2.91653	0.0819121	0	radar	3.4081	5.56465	-8.44845	5.5	-8.35	0.909045	1.81807
1477010452249714	8.00028	-8.367	-2.91655	0.0806965	0	lidar	2.12285e-314	5.53862	-8.24357	5.55	-8.25	0.909045	1.81808
1477010452304738	7.9939	-8.35664	-2.90778	0.0938943	0	radar	4.2465	5.64921	-8.02513	5.7	-8.1	2.72608	2.72608
1477010452359763	7.97961	-8.35659	-2.90783	0.0930785	0	lidar	2.12285e-314	5.85094	-7.95601	5.85	-7.95	2.72606	2.72606
1477010452414768	7.97345	-8.34657	-2.89742	0.109326	0	radar	4.77502	5.93492	-7.84119	5.95	-7.85	1.81801	1.81801
1477010452469773	7.96127	-8.3441	-2.89749	0.108793	0	lidar	2.12285e-314	6.05986	-7.73559	6.05	-7.75	1.81802	1.81801
1477010452524779	7.95513	-8.33411	-2.88772	0.124987	0	radar	4.88684	6.13741	-7.63243	6.15	-7.65	1.81798	1.81798
1477010452579785	7.94486	-8.3296	-2.88781	0.1247	0	lidar	2.12285e-314	6.25659	-7.54336	6.25	-7.55	1.81798	1.81798
1477010452634722	7.93897	-8.32002	-2.87751	0.142801	0	radar	5.26357	6.39143	-7.46358	6.35	-7.45	1.82027	1.82027
1477010452689660	7.93054	-8.31367	-2.87762	0.142743	0	lidar	2.12285e-314	6.452	-7.36418	6.45	-7.35	1.82025	1.82025
1477010452739683	7.92403	-8.30309	-2.86436	0.167764	0	radar	8.35056	6.47916	-7.09783	6.6	-7.25	2.99862	1.99908
1477010452789706	7.91819	-8.2944	-2.86448	0.168011	0	lidar	2.12285e-314	6.7556	-7.14598	6.75	-7.15	2.99862	1.99908
1477010452844772	7.91196	-8.28429	-2.85858	0.180824	0	radar	4.61035	6.68682	-6.93297	6.8	-7.05	0.908005	1.816
1477010452899838	7.90729	-8.27387	-2.85872	0.181253	0	lidar	2.12285e-314	6.86356	-6.94732	6.85	-6.95	0.908	1.81601
1477010452954812	7.90207	-8.26542	-2.84768	0.206139	0	radar	7.43623	7.08741	-6.92602	7	-6.85	2.72856	1.81904
1477010453009787	7.89978	-8.25301	-2.84783	0.206838	0	lidar	2.12285e-314	7.15695	-6.75136	7.15	-6.75	2.72854	1.81902
1477010453064726	7.8947	-8.24479	-2.84189	0.222479	0	radar	4.33713	7.29976	-6.68807	7.25	-6.65	1.8202	1.8202
1477010453119666	7.89408	-8.23067	-2.84206	0.223389	0	lidar	2.12285e-314	7.35505	-6.56058	7.35	-6.55	1.82018	1.82018
1477010453169672	7.88928	-8.22296	-2.83076	0.255675	0	radar	11.0928	7.53544	-6.5372	7.5	-6.5	2.99964	0.999884
1477010453219678	7.8908	-8.20782	-2.83093	0.256776	0	lidar	2.12285e-314	7.65664	-6.46417	7.65	-6.45	2.99964	0.999884
1477010453274711	7.88611	-8.20028	-2.82454	0.280315	0	radar	6.8486	7.67559	-6.34628	7.75	-6.4	1.81709	0.908549
1477010453329744	7.88905	-8.18427	-2.82472	0.281556	0	lidar	2.12285e-314	7.85193	-6.35845	7.85	-6.35	1.81709	0.908545
1477010453384703	7.88523	-8.17813	-2.81954	0.30536	0	radar	6.41107	8.03231	-6.28406	8	-6.25	2.72931	1.81954
1477010453439663	7.89031	-8.16018	-2.81973	0.306855	0	lidar	2.12285e-314	8.13749	-6.14586	8.15	-6.15	2.72928	1.81952
1477010453489669	7.88657	-8.15416	-2.81685	0.324866	0	radar	4.30326	8.21488	-6.01843	8.25	-6.05	1.99977	1.99976
1477010453539675	7.89317	-8.13458	-2.81706	0.326557	0	lidar	2.12285e-314	8.33626	-5.94674	8.35	-5.95	1.99977	1.99976
1477010453594661	7.88997	-8.12947	-2.81348	0.356262	0	radar	9.23848	8.50318	-5.89335	8.5	-5.9	2.72796	0.909326
1477010453649647	7.89864	-8.10908	-2.81369	0.358127	0	lidar	2.12285e-314	8.65894	-5.86309	8.65	-5.85	2.72796	0.909321
